field,overlap_records,exact_match_n,exact_match_rate,set_tp,set_fp,set_fn,set_f1
material,28,18,0.6428571428571429,25,5,7,0.8064516129032258
formula,28,26,0.9285714285714286,21,1,1,0.9545454545454546
numeric_value,28,22,0.7857142857142857,10,0,10,0.6666666666666666
unit,28,28,1.0,10,0,0,1.0
property,28,17,0.6071428571428571,21,1,13,0.75
phase,28,27,0.9642857142857143,1,0,1,0.6666666666666666
structure,28,26,0.9285714285714286,0,0,3,0.0
method,28,27,0.9642857142857143,1,0,1,0.6666666666666666
evidence,28,7,0.25,11,7,30,0.3728813559322034
qualifier,28,10,0.35714285714285715,10,10,20,0.4
overall_micro,28,,,110,24,86,0.6666666666666666
