extraction_type,gold_n,pred_n,tp,fp,fn,precision,recall,f1
material,97.0,35.0,26,9,71,0.7428571428571429,0.26804123711340205,0.393939393939394
formula,75.0,35.0,28,7,47,0.8,0.37333333333333335,0.5090909090909091
numeric_value,45.0,45.0,39,6,6,0.8666666666666667,0.8666666666666667,0.8666666666666667
unit,45.0,45.0,45,0,0,1.0,1.0,1.0
property,95.0,96.0,93,3,2,0.96875,0.9789473684210527,0.9738219895287958
phase,7.0,1.0,1,0,6,1.0,0.14285714285714285,0.25
structure,0.0,0.0,0,0,0,,,
method,14.0,1.0,0,1,14,0.0,0.0,0.0
evidence,78.0,33.0,27,6,51,0.8181818181818182,0.34615384615384615,0.4864864864864865
qualifier,40.0,2.0,0,2,40,0.0,0.0,0.0
overall_micro,,,259,34,237,0.8839590443686007,0.5221774193548387,0.6565272496831432
