estimator_a,estimator_b,jaccard
RAGAS,RAGAS,1.0
RAGAS,Lexical,0.1893939393939394
RAGAS,Hashing,0.3211009174311927
RAGAS,NLI-style,0.37142857142857144
Lexical,RAGAS,0.1893939393939394
Lexical,Lexical,1.0
Lexical,Hashing,0.6218487394957983
Lexical,NLI-style,0.6853146853146853
Hashing,RAGAS,0.3211009174311927
Hashing,Lexical,0.6218487394957983
Hashing,Hashing,1.0
Hashing,NLI-style,0.6402877697841727
NLI-style,RAGAS,0.37142857142857144
NLI-style,Lexical,0.6853146853146853
NLI-style,Hashing,0.6402877697841727
NLI-style,NLI-style,1.0
